dataset,model,distribution_noise,label_noise,sample_size,coverage_mean,coverage_std,avg_set_size_mean,accuracy_mean,coverage_gap_mean
adult_income,random_forest,0.2,0.0,full,0.8952400450404341,0.002068424057601073,1.0884225611628622,0.8552768963046372,-0.004759954959565982
adult_income,random_forest,0.5,0.0,full,0.8516736615825572,0.006722246666272746,1.1096939297778687,0.7982188555635172,-0.04832633841744294
adult_income,random_forest,1.0,0.0,full,0.8043607329306992,0.005889480762955644,1.1666700788207596,0.7157334425222643,-0.09563926706930086
breast_cancer,gradient_boosting,0.0,0.0,100,0.9175438596491228,0.027460483934207948,0.9771929824561404,0.9315789473684211,0.01754385964912277
breast_cancer,gradient_boosting,0.0,0.0,500,0.9228070175438596,0.011437197202109945,0.9421052631578947,0.9596491228070174,0.02280701754385961
breast_cancer,gradient_boosting,0.0,0.0,1000,0.9228070175438596,0.011437197202109945,0.9421052631578947,0.9596491228070174,0.02280701754385961
breast_cancer,gradient_boosting,0.0,0.0,full,0.9228070175438596,0.01058878705477577,0.9421052631578948,0.9596491228070175,0.02280701754385961
breast_cancer,gradient_boosting,0.0,0.1,full,0.9245614035087719,0.03903262361629297,1.0017543859649123,0.9245614035087719,0.024561403508771916
breast_cancer,gradient_boosting,0.0,0.2,full,0.9315789473684211,0.02587347579605729,1.075438596491228,0.9,0.03157894736842102
breast_cancer,gradient_boosting,0.0,0.3,full,0.9438596491228071,0.02815229216821265,1.2982456140350878,0.8298245614035087,0.04385964912280695
breast_cancer,gradient_boosting,0.1,0.0,full,0.9210526315789472,0.00620269106303991,0.9421052631578947,0.9508771929824562,0.021052631578947323
breast_cancer,gradient_boosting,0.2,0.0,full,0.9035087719298245,0.01074337606483849,0.9333333333333332,0.9526315789473685,0.003508771929824528
breast_cancer,gradient_boosting,0.5,0.0,full,0.8,0.05241182191680583,0.8491228070175438,0.9017543859649123,-0.10000000000000005
breast_cancer,gradient_boosting,1.0,0.0,full,0.5982456140350877,0.08261462931909547,0.6947368421052632,0.8,-0.30175438596491233
breast_cancer,logistic_regression,0.0,0.0,100,0.9157894736842106,0.035415139014361996,0.9228070175438596,0.9736842105263157,0.01578947368421051
breast_cancer,logistic_regression,0.0,0.0,500,0.9228070175438596,0.01441375151329385,0.9315789473684211,0.9754385964912281,0.02280701754385963
breast_cancer,logistic_regression,0.0,0.0,1000,0.9228070175438596,0.01441375151329385,0.9315789473684211,0.9754385964912281,0.02280701754385963
breast_cancer,logistic_regression,0.0,0.0,full,0.9228070175438597,0.01334454086413449,0.931578947368421,0.9754385964912281,0.02280701754385963
breast_cancer,logistic_regression,0.0,0.1,full,0.9228070175438596,0.027320020179644612,0.9701754385964912,0.9456140350877194,0.02280701754385963
breast_cancer,logistic_regression,0.0,0.2,full,0.9245614035087719,0.036485323408921806,0.9964912280701753,0.9210526315789475,0.024561403508771895
breast_cancer,logistic_regression,0.0,0.3,full,0.8982456140350876,0.047481995097278455,1.0298245614035086,0.8912280701754385,-0.0017543859649123083
breast_cancer,logistic_regression,0.1,0.0,full,0.9280701754385964,0.022705577378148722,0.9368421052631579,0.9754385964912281,0.028070175438596447
breast_cancer,logistic_regression,0.2,0.0,full,0.9228070175438596,0.0190170906918235,0.9298245614035088,0.9736842105263157,0.02280701754385961
breast_cancer,logistic_regression,0.5,0.0,full,0.9017543859649123,0.03187000372734199,0.9140350877192983,0.9614035087719298,0.0017543859649122417
breast_cancer,logistic_regression,1.0,0.0,full,0.8280701754385964,0.04583280869337937,0.8614035087719298,0.9175438596491228,-0.07192982456140355
breast_cancer,random_forest,0.0,0.0,100,0.9210526315789475,0.03563174738875413,0.9596491228070174,0.9473684210526315,0.021052631578947344
breast_cancer,random_forest,0.0,0.0,500,0.9228070175438596,0.032467992146178515,0.9421052631578947,0.9631578947368421,0.02280701754385961
breast_cancer,random_forest,0.0,0.0,1000,0.9228070175438596,0.032467992146178515,0.9421052631578947,0.9631578947368421,0.02280701754385961
breast_cancer,random_forest,0.0,0.0,full,0.9228070175438596,0.03005951972818942,0.9421052631578948,0.9631578947368421,0.02280701754385961
breast_cancer,random_forest,0.0,0.1,full,0.9122807017543859,0.04884003827043882,0.9333333333333333,0.9578947368421054,0.012280701754385937
breast_cancer,random_forest,0.0,0.2,full,0.9105263157894736,0.030004616449977362,0.9526315789473685,0.9456140350877191,0.010526315789473672
