coverage,avg_set_size,accuracy,dataset,model,seed,alpha,target_coverage,distribution_noise,label_noise,sample_size,coverage_gap,experiment
0.8888888888888888,0.9444444444444444,0.9444444444444444,wine_binary,gradient_boosting,0,0.1,0.9,0.0,0.0,1000,-0.011111111111111183,sample_size
0.8888888888888888,0.9444444444444444,0.9444444444444444,wine_binary,gradient_boosting,0,0.1,0.9,0.0,0.0,full,-0.011111111111111183,sample_size
0.9166666666666666,0.9722222222222222,0.9444444444444444,wine_binary,gradient_boosting,1,0.1,0.9,0.0,0.0,full,0.016666666666666607,sample_size
0.9166666666666666,0.9722222222222222,0.9444444444444444,wine_binary,gradient_boosting,1,0.1,0.9,0.1,0.0,full,0.016666666666666607,distribution_shift
0.9444444444444444,1.0,0.9444444444444444,wine_binary,gradient_boosting,1,0.1,0.9,0.2,0.0,full,0.0444444444444444,distribution_shift
0.8888888888888888,0.9722222222222222,0.8888888888888888,wine_binary,gradient_boosting,1,0.1,0.9,0.5,0.0,full,-0.011111111111111183,distribution_shift
0.7777777777777778,0.9444444444444444,0.7777777777777778,wine_binary,gradient_boosting,1,0.1,0.9,1.0,0.0,full,-0.12222222222222223,distribution_shift
0.9166666666666666,0.9722222222222222,0.9444444444444444,wine_binary,gradient_boosting,1,0.1,0.9,0.0,0.0,full,0.016666666666666607,sample_size
0.9444444444444444,1.0277777777777777,0.9444444444444444,wine_binary,gradient_boosting,1,0.1,0.9,0.0,0.1,full,0.0444444444444444,label_noise
0.9444444444444444,1.1388888888888888,0.9166666666666666,wine_binary,gradient_boosting,1,0.1,0.9,0.0,0.2,full,0.0444444444444444,label_noise
0.9722222222222222,1.3888888888888888,0.8333333333333334,wine_binary,gradient_boosting,1,0.1,0.9,0.0,0.3,full,0.07222222222222219,label_noise
0.9444444444444444,1.0277777777777777,0.9444444444444444,wine_binary,gradient_boosting,1,0.1,0.9,0.0,0.0,100,0.0444444444444444,sample_size
0.9166666666666666,0.9722222222222222,0.9444444444444444,wine_binary,gradient_boosting,1,0.1,0.9,0.0,0.0,500,0.016666666666666607,sample_size
0.9166666666666666,0.9722222222222222,0.9444444444444444,wine_binary,gradient_boosting,1,0.1,0.9,0.0,0.0,1000,0.016666666666666607,sample_size
0.9166666666666666,0.9722222222222222,0.9444444444444444,wine_binary,gradient_boosting,1,0.1,0.9,0.0,0.0,full,0.016666666666666607,sample_size
0.9722222222222222,1.3888888888888888,0.9444444444444444,wine_binary,gradient_boosting,2,0.1,0.9,0.0,0.0,full,0.07222222222222219,sample_size
0.9722222222222222,1.3611111111111112,0.9444444444444444,wine_binary,gradient_boosting,2,0.1,0.9,0.1,0.0,full,0.07222222222222219,distribution_shift
0.9722222222222222,1.3611111111111112,0.9444444444444444,wine_binary,gradient_boosting,2,0.1,0.9,0.2,0.0,full,0.07222222222222219,distribution_shift
0.9722222222222222,1.3611111111111112,0.9444444444444444,wine_binary,gradient_boosting,2,0.1,0.9,0.5,0.0,full,0.07222222222222219,distribution_shift
0.9722222222222222,1.4722222222222223,0.8333333333333334,wine_binary,gradient_boosting,2,0.1,0.9,1.0,0.0,full,0.07222222222222219,distribution_shift
0.9722222222222222,1.3888888888888888,0.9444444444444444,wine_binary,gradient_boosting,2,0.1,0.9,0.0,0.0,full,0.07222222222222219,sample_size
1.0,1.1666666666666667,0.9444444444444444,wine_binary,gradient_boosting,2,0.1,0.9,0.0,0.1,full,0.09999999999999998,label_noise
1.0,1.8611111111111112,0.8888888888888888,wine_binary,gradient_boosting,2,0.1,0.9,0.0,0.2,full,0.09999999999999998,label_noise
0.9722222222222222,1.6944444444444444,0.75,wine_binary,gradient_boosting,2,0.1,0.9,0.0,0.3,full,0.07222222222222219,label_noise
0.9722222222222222,1.3888888888888888,0.9444444444444444,wine_binary,gradient_boosting,2,0.1,0.9,0.0,0.0,100,0.07222222222222219,sample_size
0.9722222222222222,1.3888888888888888,0.9444444444444444,wine_binary,gradient_boosting,2,0.1,0.9,0.0,0.0,500,0.07222222222222219,sample_size
0.9722222222222222,1.3888888888888888,0.9444444444444444,wine_binary,gradient_boosting,2,0.1,0.9,0.0,0.0,1000,0.07222222222222219,sample_size
0.9722222222222222,1.3888888888888888,0.9444444444444444,wine_binary,gradient_boosting,2,0.1,0.9,0.0,0.0,full,0.07222222222222219,sample_size
0.8888888888888888,0.9722222222222222,0.9166666666666666,wine_binary,gradient_boosting,3,0.1,0.9,0.0,0.0,full,-0.011111111111111183,sample_size
0.8888888888888888,0.9722222222222222,0.9166666666666666,wine_binary,gradient_boosting,3,0.1,0.9,0.1,0.0,full,-0.011111111111111183,distribution_shift
0.8888888888888888,0.9722222222222222,0.9166666666666666,wine_binary,gradient_boosting,3,0.1,0.9,0.2,0.0,full,-0.011111111111111183,distribution_shift
0.8055555555555556,0.9444444444444444,0.8333333333333334,wine_binary,gradient_boosting,3,0.1,0.9,0.5,0.0,full,-0.09444444444444444,distribution_shift
0.6388888888888888,0.8333333333333334,0.7777777777777778,wine_binary,gradient_boosting,3,0.1,0.9,1.0,0.0,full,-0.2611111111111112,distribution_shift
0.8888888888888888,0.9722222222222222,0.9166666666666666,wine_binary,gradient_boosting,3,0.1,0.9,0.0,0.0,full,-0.011111111111111183,sample_size
0.9166666666666666,1.0,0.9166666666666666,wine_binary,gradient_boosting,3,0.1,0.9,0.0,0.1,full,0.016666666666666607,label_noise
1.0,1.25,0.8611111111111112,wine_binary,gradient_boosting,3,0.1,0.9,0.0,0.2,full,0.09999999999999998,label_noise
0.8888888888888888,1.3333333333333333,0.6666666666666666,wine_binary,gradient_boosting,3,0.1,0.9,0.0,0.3,full,-0.011111111111111183,label_noise
0.8888888888888888,1.0,0.8888888888888888,wine_binary,gradient_boosting,3,0.1,0.9,0.0,0.0,100,-0.011111111111111183,sample_size
0.8888888888888888,0.9722222222222222,0.9166666666666666,wine_binary,gradient_boosting,3,0.1,0.9,0.0,0.0,500,-0.011111111111111183,sample_size
0.8888888888888888,0.9722222222222222,0.9166666666666666,wine_binary,gradient_boosting,3,0.1,0.9,0.0,0.0,1000,-0.011111111111111183,sample_size
0.8888888888888888,0.9722222222222222,0.9166666666666666,wine_binary,gradient_boosting,3,0.1,0.9,0.0,0.0,full,-0.011111111111111183,sample_size
0.9722222222222222,0.9722222222222222,1.0,wine_binary,gradient_boosting,4,0.1,0.9,0.0,0.0,full,0.07222222222222219,sample_size
0.9722222222222222,0.9722222222222222,1.0,wine_binary,gradient_boosting,4,0.1,0.9,0.1,0.0,full,0.07222222222222219,distribution_shift
1.0,1.0,1.0,wine_binary,gradient_boosting,4,0.1,0.9,0.2,0.0,full,0.09999999999999998,distribution_shift
0.8333333333333334,0.9722222222222222,0.8333333333333334,wine_binary,gradient_boosting,4,0.1,0.9,0.5,0.0,full,-0.06666666666666665,distribution_shift
0.7777777777777778,0.9722222222222222,0.7777777777777778,wine_binary,gradient_boosting,4,0.1,0.9,1.0,0.0,full,-0.12222222222222223,distribution_shift
0.9722222222222222,0.9722222222222222,1.0,wine_binary,gradient_boosting,4,0.1,0.9,0.0,0.0,full,0.07222222222222219,sample_size
0.9722222222222222,1.0,0.9722222222222222,wine_binary,gradient_boosting,4,0.1,0.9,0.0,0.1,full,0.07222222222222219,label_noise
0.9444444444444444,1.0,0.9444444444444444,wine_binary,gradient_boosting,4,0.1,0.9,0.0,0.2,full,0.0444444444444444,label_noise
1.0,1.0833333333333333,0.9722222222222222,wine_binary,gradient_boosting,4,0.1,0.9,0.0,0.3,full,0.09999999999999998,label_noise
0.9722222222222222,0.9722222222222222,1.0,wine_binary,gradient_boosting,4,0.1,0.9,0.0,0.0,100,0.07222222222222219,sample_size
0.9722222222222222,0.9722222222222222,1.0,wine_binary,gradient_boosting,4,0.1,0.9,0.0,0.0,500,0.07222222222222219,sample_size
0.9722222222222222,0.9722222222222222,1.0,wine_binary,gradient_boosting,4,0.1,0.9,0.0,0.0,1000,0.07222222222222219,sample_size
0.9722222222222222,0.9722222222222222,1.0,wine_binary,gradient_boosting,4,0.1,0.9,0.0,0.0,full,0.07222222222222219,sample_size
0.9056198177909714,1.1190500563005426,0.8519807554509161,adult_income,logistic_regression,0,0.1,0.9,0.0,0.0,full,0.005619817790971426,sample_size
0.8959975432490531,1.1227351827208516,0.8436892210052206,adult_income,logistic_regression,0,0.1,0.9,0.1,0.0,full,-0.004002456750946903,distribution_shift
0.8756269833145665,1.1187429624321834,0.8221926502200839,adult_income,logistic_regression,0,0.1,0.9,0.2,0.0,full,-0.02437301668543357,distribution_shift
0.7813491657283242,1.0885453987102058,0.7403009519909919,adult_income,logistic_regression,0,0.1,0.9,0.5,0.0,full,-0.11865083427167578,distribution_shift
0.679496366055891,1.0603951274439554,0.6505271778073498,adult_income,logistic_regression,0,0.1,0.9,1.0,0.0,full,-0.220503633944109,distribution_shift
0.9056198177909714,1.1190500563005426,0.8519807554509161,adult_income,logistic_regression,0,0.1,0.9,0.0,0.0,full,0.005619817790971426,sample_size
0.9068481932644078,1.1316409049032654,0.8487050875217524,adult_income,logistic_regression,0,0.1,0.9,0.0,0.1,full,0.006848193264407776,label_noise
0.9036748899580305,1.1405466270856792,0.8429726686457161,adult_income,logistic_regression,0,0.1,0.9,0.0,0.2,full,0.0036748899580304473,label_noise
0.9046985361858941,1.158460436073293,0.8387757191114751,adult_income,logistic_regression,0,0.1,0.9,0.0,0.3,full,0.004698536185894109,label_noise
0.9024465144845941,1.200737025284062,0.8086805200122837,adult_income,logistic_regression,0,0.1,0.9,0.0,0.0,100,0.002446514484594098,sample_size
